BenchmarkEncode_AllTypes_32    	 1000000	       787.6 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       788.4 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       789.3 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       785.9 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       790.8 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       786.3 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       786.4 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       784.5 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       788.0 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       786.7 ns/op	      88 B/op	       6 allocs/op
BenchmarkEncode_Small_32       	 1000000	       223.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       223.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       223.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       223.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       224.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       224.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       222.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       221.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       222.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       222.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       885.3 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       882.6 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       885.7 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       889.0 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       884.0 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       883.6 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       884.4 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       885.8 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       885.8 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       889.2 ns/op	      48 B/op	       5 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2246 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2247 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2260 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2259 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2276 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2261 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2249 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2253 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2243 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2248 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18099 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18100 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18204 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18173 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18196 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18216 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18118 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18097 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18109 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Map_32         	 1000000	     18149 ns/op	    1637 B/op	     203 allocs/op
BenchmarkEncode_Large_32       	   19182	    187594 ns/op	   12882 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19177	    187772 ns/op	   12881 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19212	    187407 ns/op	   12883 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19202	    187333 ns/op	   12881 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19111	    188194 ns/op	   12880 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19071	    188185 ns/op	   12881 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19213	    187554 ns/op	   12882 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19248	    187194 ns/op	   12880 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19203	    187417 ns/op	   12882 B/op	    1202 allocs/op
BenchmarkEncode_Large_32       	   19226	    187294 ns/op	   12881 B/op	    1202 allocs/op
BenchmarkEncode_Document_32    	   91430	     39290 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   92028	     39648 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   90955	     39514 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91573	     39404 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91488	     39344 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91807	     39298 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91993	     39275 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91898	     39299 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91665	     39254 ns/op	     272 B/op	      19 allocs/op
BenchmarkEncode_Document_32    	   91620	     39379 ns/op	     272 B/op	      19 allocs/op
